timestamp,page,ram_used_gb,ram_percent,gpu_used_mb,gpu_total_mb,gpu_free_mb
2026-01-26T14:06:26.967602,1,5.14,21.0,147,1213,219
2026-01-26T14:06:28.090963,2,5.10,20.9,147,1213,219
2026-01-26T14:06:29.055149,3,5.07,20.7,147,1213,219
2026-01-26T14:06:32.245680,4,5.34,21.8,148,1244,251
2026-01-26T14:06:33.272178,5,5.34,21.8,148,1244,251
2026-01-26T14:06:38.841601,6,5.55,22.7,149,1244,187
2026-01-26T14:06:39.930947,7,5.57,22.8,149,1244,187
2026-01-26T14:06:42.153359,8,5.59,22.9,149,1244,187
2026-01-26T14:06:44.190937,9,5.57,22.8,149,1244,187
2026-01-26T14:06:46.246430,10,5.58,22.8,149,1244,187
2026-01-26T14:06:48.145641,11,5.52,22.6,149,1244,187
2026-01-26T14:06:50.054571,12,5.43,22.2,149,1244,187
2026-01-26T14:06:52.017891,13,5.44,22.2,149,1244,187
2026-01-26T14:06:56.477785,14,5.56,22.7,149,1244,187
2026-01-26T14:06:57.473867,15,5.56,22.7,149,1244,187
2026-01-26T14:07:01.903237,16,5.45,22.3,149,1244,187
2026-01-26T14:07:02.887538,17,5.43,22.2,149,1244,187
2026-01-26T14:07:04.881762,18,5.46,22.3,149,1244,187
2026-01-26T14:07:10.173647,19,5.47,22.4,149,1244,187
2026-01-26T14:07:11.161295,20,5.46,22.3,149,1244,187
2026-01-26T14:07:16.660005,21,5.48,22.4,149,1244,187
2026-01-26T14:07:17.625474,22,5.46,22.3,149,1244,187
2026-01-26T14:07:19.549874,23,5.48,22.4,149,1244,187
2026-01-26T14:07:24.653605,24,5.49,22.5,149,1244,187
2026-01-26T14:07:25.625046,25,5.49,22.5,149,1244,187
2026-01-26T14:07:30.818651,26,5.51,22.5,149,1244,187
2026-01-26T14:07:31.789054,27,5.49,22.5,149,1244,187
2026-01-26T14:07:36.907158,28,5.61,23.0,149,1244,187
2026-01-26T14:07:37.883271,29,5.61,23.0,149,1244,187
2026-01-26T14:07:39.862690,30,5.71,23.4,149,1244,187
2026-01-26T14:07:41.854023,31,5.60,22.9,149,1244,187
2026-01-26T14:07:47.234798,32,5.47,22.4,149,1244,187
